loss,rmse
0.04304388291886025,0.20737846195697784
0.016632025524196344,0.12874944508075714
0.010076683206876757,0.10005196928977966
0.008293838494077086,0.0907159149646759
0.006164125375045942,0.07804548740386963
0.005018929117028131,0.07032018154859543
0.004302791344459006,0.06508049368858337
0.003675125119353243,0.06007567420601845
0.0030433843792907448,0.054552316665649414
0.0024854914177905494,0.04921150207519531
0.002078653270978942,0.04488212615251541
0.001809923913556262,0.041770175099372864
0.0015992281788643962,0.039219651371240616
0.001462988512923753,0.037414539605379105
0.0013579737061822632,0.036008600145578384
0.0012848646304711119,0.03495755419135094
0.0012398072279169471,0.03431392461061478
0.001216558273080651,0.034092433750629425
