loss,rmse
0.17180127737126039,0.4148836135864258
0.033747368699336866,0.18366004526615143
0.031917017061085275,0.17861881852149963
0.029186460244304994,0.17081263661384583
0.024895750690655617,0.15777082741260529
0.019348623011918628,0.13907082378864288
0.01550116931577898,0.12442920356988907
0.013503313137334771,0.11612097918987274
0.012186637356695855,0.11029067635536194
0.01114628000633435,0.10547658801078796
0.01024818005209775,0.10113493353128433
0.009330273718874463,0.09649435430765152
0.008390022946353866,0.09149940311908722
0.007326329444956226,0.08549462258815765
0.0062194064940901145,0.07875321060419083
0.005350161326693042,0.07301264256238937
0.00468817754453459,0.06834018975496292
0.0040278460480348095,0.06329065561294556
0.003459069106611423,0.05862141773104668
0.0030466175080886494,0.05499446764588356
