loss,rmse
0.023344914783913682,0.15280567109584808
0.006680366964835283,0.08173370361328125
0.0022252116067754874,0.0471559576690197
0.00149935147157307,0.03869832307100296
0.001260910635771913,0.03548308089375496
0.0010808043016635673,0.03284633904695511
0.0009310416729771104,0.030480341985821724
0.000815988696371385,0.028529511764645576
0.0007439780456747138,0.027237998321652412
0.000708784605956894,0.026584094390273094
0.0006943219760507739,0.026310574263334274
0.0006882806951446529,0.02619539201259613
0.0006892511921571841,0.02621377259492874
0.0006931914167313045,0.026288600638508797
0.0006924084797286495,0.02627343311905861
0.0006865690594462221,0.0261617973446846
0.000682197663884247,0.026077857241034508
0.0006799312421555762,0.02603411115705967
0.0006778208319514413,0.025993259623646736
0.0006755697208705789,0.025949550792574883
0.0006733113213533001,0.02590550109744072
0.0006710282215649119,0.02586076594889164
0.0006687527457228605,0.02581608295440674
0.000666589471299684,0.025773635134100914
0.0006645750650691565,0.025734180584549904
0.0006627320182467563,0.025698116049170494
0.0006610575957411664,0.025665370747447014
0.00065952408420558,0.025635385885834694
0.0006581050202465336,0.02560763992369175
0.0006567763947152664,0.025581659749150276
