loss,rmse
0.2722482636009398,0.5218192338943481
0.2661465380532557,0.5159391164779663
0.2598701143253814,0.5098191499710083
0.25365599660504173,0.5036871433258057
0.24758102372288704,0.4976191222667694
0.24168117766213768,0.49165433645248413
0.23592489109347192,0.4857645332813263
0.2302760397467543,0.47991400957107544
0.22480082103763432,0.4741740822792053
0.21941750750000424,0.4684624671936035
0.21412141295149922,0.4627744257450104
0.20894706877195002,0.45714887976646423
0.20390970108564943,0.4516049921512604
0.19888000259422423,0.44600003957748413
0.19397281806381858,0.44046393036842346
0.18915611052515863,0.43496066331863403
0.18438820923705967,0.42944398522377014
