loss,rmse
0.28572361215072517,0.5347557663917542
0.2837149971164763,0.5328734517097473
0.2815654962323606,0.5308541059494019
0.2793631401625188,0.5287705659866333
0.2771431989419986,0.5266698598861694
0.2748567511272781,0.5244923233985901
0.2726134126732016,0.522347092628479
0.27035417177659626,0.5201794505119324
0.2681209762197207,0.5180265307426453
0.2658942204023547,0.5158712863922119
0.26364358207758737,0.5136860609054565
0.2614622641738285,0.5115550756454468
0.25923503297107187,0.5093738436698914
0.2570514502003789,0.5072254538536072
0.25486710853874683,0.5050663948059082
0.25270273676142097,0.5029175281524658
0.25055101760389176,0.5007728338241577
0.2483941958669354,0.4986133575439453
0.2462496190222309,0.4964561462402344
0.24411857497933157,0.49430209398269653
